"ID";"HGNC";"External Name"
"ENSSHAT00000000046";"SLC16A9";"SLC16A9"
"ENSSHAT00000000047";NA;NA
"ENSSHAT00000000048";NA;NA
"ENSSHAT00000000049";"B4GALT5";"B4GALT5"
"ENSSHAT00000000050";NA;NA
"ENSSHAT00000000051";NA;NA
"ENSSHAT00000000052";"MBL2";"MBL2"
"ENSSHAT00000000053";NA;NA
"ENSSHAT00000000054";NA;NA
"ENSSHAT00000000055";"SLC27A4";"SLC27A4"
"ENSSHAT00000000056";"AGPAT5";"AGPAT5"
"ENSSHAT00000000057";"ERGIC3";"ERGIC3"
"ENSSHAT00000000058";"ERGIC3";"ERGIC3"
"ENSSHAT00000000059";NA;NA
"ENSSHAT00000000060";NA;NA
"ENSSHAT00000000061";NA;NA
"ENSSHAT00000000062";NA;NA
"ENSSHAT00000000063";NA;NA
"ENSSHAT00000000064";"MRPS11";"MRPS11"
"ENSSHAT00000000065";NA;NA
"ENSSHAT00000000066";NA;NA
"ENSSHAT00000000067";"SPAG4";"SPAG4"
"ENSSHAT00000000068";NA;NA
"ENSSHAT00000000069";NA;NA
"ENSSHAT00000000070";"ESRP2";"ESRP2"
"ENSSHAT00000000071";"ESRP2";"ESRP2"
"ENSSHAT00000000072";"JARID2";"JARID2"
"ENSSHAT00000000073";"MTDH";"MTDH"
"ENSSHAT00000000074";"PNPLA6";"PNPLA6"
"ENSSHAT00000000075";NA;NA
"ENSSHAT00000000076";NA;NA
"ENSSHAT00000000077";NA;NA
"ENSSHAT00000000078";NA;NA
"ENSSHAT00000000079";NA;NA
"ENSSHAT00000000080";NA;NA
"ENSSHAT00000000081";NA;NA
"ENSSHAT00000000082";"LZTR1";"LZTR1"
"ENSSHAT00000000083";NA;NA
"ENSSHAT00000000084";NA;NA
"ENSSHAT00000000085";NA;NA
"ENSSHAT00000000086";"EXOG";"EXOG"
"ENSSHAT00000000087";"PXN";"PXN"
"ENSSHAT00000000088";"THAP7";"THAP7"
"ENSSHAT00000000089";"CRHR2";"CRHR2"
"ENSSHAT00000000090";"CORO1C";"CORO1C"
"ENSSHAT00000000091";NA;NA
"ENSSHAT00000000092";"HSF1";"HSF1"
"ENSSHAT00000000093";"DGAT1";"DGAT1"
"ENSSHAT00000000094";"ECM2";"ECM2"
"ENSSHAT00000000095";NA;NA
"ENSSHAT00000000096";NA;NA
"ENSSHAT00000000097";"STXBP2";"STXBP2"
"ENSSHAT00000000098";"PPAP2C";"PPAP2C"
"ENSSHAT00000000099";NA;NA
"ENSSHAT00000000100";NA;NA
"ENSSHAT00000000101";"PIK3CB";"PIK3CB"
"ENSSHAT00000000102";"PSMD8";"PSMD8"
"ENSSHAT00000000103";NA;NA
"ENSSHAT00000000104";"CD200";"CD200"
"ENSSHAT00000000105";"CD200";"CD200"
"ENSSHAT00000000106";"RPS5";"RPS5"
"ENSSHAT00000000107";NA;NA
"ENSSHAT00000000108";"SEC62";"SEC62"
"ENSSHAT00000000109";"SEC62";"SEC62"
"ENSSHAT00000000110";"AGO3";"AGO3"
"ENSSHAT00000000111";"TRPM4";"TRPM4"
"ENSSHAT00000000112";"TRPM4";"TRPM4"
"ENSSHAT00000000113";"ZNF497";"ZNF497"
"ENSSHAT00000000114";NA;NA
"ENSSHAT00000000115";NA;NA
"ENSSHAT00000000116";NA;NA
"ENSSHAT00000000117";NA;NA
"ENSSHAT00000000118";NA;NA
"ENSSHAT00000000119";NA;NA
"ENSSHAT00000000120";"SIRT2";"SIRT2"
"ENSSHAT00000000121";NA;NA
"ENSSHAT00000000122";"FIS1";"FIS1"
"ENSSHAT00000000123";"EIF4H";"EIF4H"
"ENSSHAT00000000124";NA;NA
"ENSSHAT00000000125";"COL18A1";"COL18A1"
"ENSSHAT00000000126";NA;NA
"ENSSHAT00000000127";"RAD54L";"RAD54L"
"ENSSHAT00000000128";"RPS8";"RPS8"
"ENSSHAT00000000129";NA;NA
"ENSSHAT00000000130";NA;NA
"ENSSHAT00000000131";"TRIM58";"TRIM58"
"ENSSHAT00000000132";"ARRB2";"ARRB2"
"ENSSHAT00000000133";"HMGA1";"HMGA1"
"ENSSHAT00000000134";"HMGA1";"HMGA1"
"ENSSHAT00000000135";NA;NA
"ENSSHAT00000000136";NA;NA
"ENSSHAT00000000137";NA;NA
"ENSSHAT00000000138";NA;NA
"ENSSHAT00000000139";NA;NA
"ENSSHAT00000000140";NA;NA
"ENSSHAT00000000141";NA;NA
"ENSSHAT00000000142";NA;NA
"ENSSHAT00000000143";"BAZ2A";"BAZ2A"
"ENSSHAT00000000144";"BAZ2A";"BAZ2A"
"ENSSHAT00000000145";"GGA1";"GGA1"
"ENSSHAT00000000146";NA;NA
"ENSSHAT00000000147";"KEL";"KEL"
"ENSSHAT00000000148";"KEL";"KEL"
"ENSSHAT00000000149";"PAN2";"PAN2"
"ENSSHAT00000000150";"PAN2";"PAN2"
"ENSSHAT00000000151";NA;NA
"ENSSHAT00000000152";NA;NA
"ENSSHAT00000000153";"CHPF2";"CHPF2"
"ENSSHAT00000000154";"NT5DC3";"NT5DC3"
"ENSSHAT00000000155";NA;NA
"ENSSHAT00000000156";NA;NA
"ENSSHAT00000000157";NA;NA
"ENSSHAT00000000158";"PDGFC";"PDGFC"
"ENSSHAT00000000159";NA;NA
"ENSSHAT00000000160";"FAU";"FAU"
"ENSSHAT00000000161";"MAN2B2";"MAN2B2"
"ENSSHAT00000000162";"MAN2B2";"MAN2B2"
"ENSSHAT00000000163";NA;NA
"ENSSHAT00000000164";"TXK";"TXK"
"ENSSHAT00000000165";"MSMO1";"MSMO1"
"ENSSHAT00000000166";"RPL27A";"RPL27A"
"ENSSHAT00000000167";NA;NA
"ENSSHAT00000000168";"SUV39H1";"SUV39H1"
"ENSSHAT00000000169";"SUV39H1";"SUV39H1"
"ENSSHAT00000000170";NA;NA
"ENSSHAT00000000171";"GATA1";"GATA1"
"ENSSHAT00000000172";NA;NA
"ENSSHAT00000000173";NA;NA
"ENSSHAT00000000174";NA;NA
"ENSSHAT00000000175";"ERH";"ERH"
"ENSSHAT00000000176";NA;NA
"ENSSHAT00000000177";NA;NA
"ENSSHAT00000000178";NA;NA
"ENSSHAT00000000179";NA;NA
"ENSSHAT00000000180";"AP2A1";"AP2A1"
"ENSSHAT00000000181";NA;NA
"ENSSHAT00000000182";"PDHX";"PDHX"
"ENSSHAT00000000183";"PDHX";"PDHX"
"ENSSHAT00000000184";"ADAM2";"ADAM2"
"ENSSHAT00000000185";"ADAM2";"ADAM2"
"ENSSHAT00000000186";"PPP1R21";"PPP1R21"
"ENSSHAT00000000187";"UCHL3";"UCHL3"
"ENSSHAT00000000188";NA;NA
"ENSSHAT00000000189";"GEMIN2";"GEMIN2"
"ENSSHAT00000000190";"PDZD4";"PDZD4"
"ENSSHAT00000000191";"PDZD4";"PDZD4"
"ENSSHAT00000000192";"ITSN2";"ITSN2"
"ENSSHAT00000000193";NA;NA
"ENSSHAT00000000194";NA;NA
"ENSSHAT00000000195";NA;NA
"ENSSHAT00000000196";"TMEM71";"TMEM71"
"ENSSHAT00000000197";"PGP";"PGP"
"ENSSHAT00000000198";NA;NA
"ENSSHAT00000000199";NA;NA
"ENSSHAT00000000200";NA;NA
"ENSSHAT00000000201";"BCL6B";"BCL6B"
"ENSSHAT00000000202";"OGG1";"OGG1"
"ENSSHAT00000000203";NA;NA
"ENSSHAT00000000204";NA;NA
"ENSSHAT00000000205";"TRIM10";"TRIM10"
"ENSSHAT00000000206";"TRIM10";"TRIM10"
"ENSSHAT00000000207";NA;NA
"ENSSHAT00000000208";NA;NA
"ENSSHAT00000000209";"PERM1";"PERM1"
"ENSSHAT00000000210";"BOK";"BOK"
"ENSSHAT00000000211";NA;NA
"ENSSHAT00000000212";NA;NA
"ENSSHAT00000000213";"SIGLEC1";"SIGLEC1"
"ENSSHAT00000000214";"SIGLEC1";"SIGLEC1"
"ENSSHAT00000000215";NA;NA
"ENSSHAT00000000216";NA;NA
"ENSSHAT00000000217";NA;NA
"ENSSHAT00000000218";"ZCWPW1";"ZCWPW1"
"ENSSHAT00000000219";"IL22RA2";"IL22RA2"
"ENSSHAT00000000220";NA;NA
"ENSSHAT00000000221";NA;NA
"ENSSHAT00000000222";NA;NA
"ENSSHAT00000000223";"SLC25A1";"SLC25A1"
"ENSSHAT00000000224";"SOCS1";"SOCS1"
"ENSSHAT00000000225";"DGKD";"DGKD"
"ENSSHAT00000000226";"NCAPH2";"NCAPH2"
"ENSSHAT00000000227";"NCAPH2";"NCAPH2"
"ENSSHAT00000000228";NA;NA
"ENSSHAT00000000229";"CRELD2";"CRELD2"
"ENSSHAT00000000230";NA;NA
"ENSSHAT00000000231";NA;NA
"ENSSHAT00000000232";"EGFL7";"EGFL7"
"ENSSHAT00000000233";"ANKLE1";"ANKLE1"
"ENSSHAT00000000234";NA;NA
"ENSSHAT00000000235";NA;NA
"ENSSHAT00000000236";NA;NA
"ENSSHAT00000000237";"CALM3";"CALM3"
"ENSSHAT00000000238";NA;NA
"ENSSHAT00000000239";NA;NA
"ENSSHAT00000000240";"GIPR";"GIPR"
"ENSSHAT00000000241";"GIPR";"GIPR"
"ENSSHAT00000000242";NA;NA
"ENSSHAT00000000243";"C7orf72";"C7orf72"
"ENSSHAT00000000244";NA;NA
"ENSSHAT00000000245";"MPND";"MPND"
"ENSSHAT00000000246";NA;NA
"ENSSHAT00000000247";NA;NA
"ENSSHAT00000000248";NA;NA
"ENSSHAT00000000249";NA;NA
"ENSSHAT00000000250";NA;NA
"ENSSHAT00000000251";NA;NA
"ENSSHAT00000000252";NA;NA
"ENSSHAT00000000253";NA;NA
"ENSSHAT00000000254";"BRSK2";"BRSK2"
"ENSSHAT00000000255";NA;NA
"ENSSHAT00000000256";NA;NA
"ENSSHAT00000000257";NA;NA
"ENSSHAT00000000258";"CALB2";"CALB2"
"ENSSHAT00000000259";"ACTR2";"ACTR2"
"ENSSHAT00000000260";"ACTR2";"ACTR2"
"ENSSHAT00000000261";NA;NA
"ENSSHAT00000000262";NA;NA
"ENSSHAT00000000263";"PCP2";"PCP2"
"ENSSHAT00000000264";NA;NA
"ENSSHAT00000000265";"ETNK2";"ETNK2"
"ENSSHAT00000000266";"LIN37";"LIN37"
"ENSSHAT00000000267";"CCR1";"CCR1"
"ENSSHAT00000000268";NA;NA
"ENSSHAT00000000269";NA;NA
"ENSSHAT00000000270";"SYCN";"SYCN"
"ENSSHAT00000000271";"PHLDA1";"PHLDA1"
"ENSSHAT00000000272";"SMCR8";"SMCR8"
"ENSSHAT00000000273";NA;NA
"ENSSHAT00000000274";NA;NA
"ENSSHAT00000000275";NA;NA
"ENSSHAT00000000276";NA;NA
"ENSSHAT00000000277";"IARS";"IARS"
"ENSSHAT00000000278";NA;NA
"ENSSHAT00000000279";NA;NA
"ENSSHAT00000000280";NA;NA
"ENSSHAT00000000281";"IFNGR1";"IFNGR1"
"ENSSHAT00000000282";NA;NA
"ENSSHAT00000000283";NA;NA
"ENSSHAT00000000284";"DNAH1";"DNAH1"
"ENSSHAT00000000285";NA;NA
"ENSSHAT00000000286";NA;NA
"ENSSHAT00000000287";"SLC2A7";"SLC2A7"
"ENSSHAT00000000288";"SLC16A8";"SLC16A8"
"ENSSHAT00000000289";NA;NA
"ENSSHAT00000000290";"JAG2";"JAG2"
"ENSSHAT00000000291";"KPTN";"KPTN"
"ENSSHAT00000000292";"KLK7";"KLK7"
"ENSSHAT00000000293";"CATSPERG";"CATSPERG"
"ENSSHAT00000000294";"CATSPERG";"CATSPERG"
"ENSSHAT00000000295";"SNX19";"SNX19"
"ENSSHAT00000000296";NA;NA
"ENSSHAT00000000297";NA;NA
"ENSSHAT00000000298";"TACSTD2";"TACSTD2"
"ENSSHAT00000000299";NA;NA
"ENSSHAT00000000300";NA;NA
"ENSSHAT00000000301";NA;NA
"ENSSHAT00000000302";NA;NA
"ENSSHAT00000000303";"TIRAP";"TIRAP"
"ENSSHAT00000000304";NA;NA
"ENSSHAT00000000305";NA;NA
"ENSSHAT00000000306";NA;NA
"ENSSHAT00000000307";NA;NA
"ENSSHAT00000000308";NA;NA
"ENSSHAT00000000309";NA;NA
"ENSSHAT00000000310";NA;NA
"ENSSHAT00000000311";"RRAS";"RRAS"
"ENSSHAT00000000312";"EHBP1L1";"EHBP1L1"
"ENSSHAT00000000313";NA;NA
"ENSSHAT00000000314";NA;NA
"ENSSHAT00000000315";"TSPAN6";"TSPAN6"
"ENSSHAT00000000316";NA;NA
"ENSSHAT00000000317";"RNFT2";"RNFT2"
"ENSSHAT00000000318";NA;NA
"ENSSHAT00000000319";"ITGAM";"ITGAM"
"ENSSHAT00000000320";NA;NA
"ENSSHAT00000000321";NA;NA
"ENSSHAT00000000322";NA;NA
"ENSSHAT00000000323";NA;NA
"ENSSHAT00000000324";NA;NA
"ENSSHAT00000000325";NA;NA
"ENSSHAT00000000326";"NBEAL1";"NBEAL1"
"ENSSHAT00000000327";"NBEAL1";"NBEAL1"
"ENSSHAT00000000328";NA;NA
"ENSSHAT00000000329";NA;NA
"ENSSHAT00000000330";NA;NA
"ENSSHAT00000000331";"STRA13";"STRA13"
"ENSSHAT00000000332";"TNNI3";"TNNI3"
"ENSSHAT00000000333";NA;NA
"ENSSHAT00000000334";"MEGF8";"MEGF8"
"ENSSHAT00000000335";NA;NA
"ENSSHAT00000000336";"UHRF1";"UHRF1"
"ENSSHAT00000000337";NA;NA
"ENSSHAT00000000338";NA;NA
"ENSSHAT00000000339";"POP1";"POP1"
"ENSSHAT00000000340";"POP1";"POP1"
"ENSSHAT00000000341";NA;NA
"ENSSHAT00000000342";NA;NA
"ENSSHAT00000000343";NA;NA
"ENSSHAT00000000344";"DYNLL1";"DYNLL1"
"ENSSHAT00000000345";"UBXN6";"UBXN6"
"ENSSHAT00000000346";NA;NA
"ENSSHAT00000000347";"SBF1";"SBF1"
"ENSSHAT00000000348";"MRGPRD";"MRGPRD"
"ENSSHAT00000000349";NA;NA
"ENSSHAT00000000350";NA;NA
"ENSSHAT00000000351";"CHAF1A";"CHAF1A"
"ENSSHAT00000000352";NA;NA
"ENSSHAT00000000353";NA;NA
"ENSSHAT00000000354";"CENPP";"CENPP"
"ENSSHAT00000000355";NA;NA
"ENSSHAT00000000357";"FN3KRP";"FN3KRP"
"ENSSHAT00000000358";"C12orf73";"C12orf73"
"ENSSHAT00000000359";NA;NA
"ENSSHAT00000000360";NA;NA
"ENSSHAT00000000361";NA;NA
"ENSSHAT00000000362";"UGT1A6";"UGT1A6"
"ENSSHAT00000000363";NA;NA
"ENSSHAT00000000364";NA;NA
"ENSSHAT00000000365";NA;NA
"ENSSHAT00000000366";NA;NA
"ENSSHAT00000000367";NA;NA
"ENSSHAT00000000368";NA;NA
"ENSSHAT00000000369";NA;NA
"ENSSHAT00000000370";"SPECC1L";"SPECC1L"
"ENSSHAT00000000371";"SPECC1L";"SPECC1L"
"ENSSHAT00000000372";NA;NA
"ENSSHAT00000000373";"MTFP1";"MTFP1"
"ENSSHAT00000000374";NA;NA
"ENSSHAT00000000375";NA;NA
"ENSSHAT00000000376";NA;NA
"ENSSHAT00000000377";"PRX";"PRX"
"ENSSHAT00000000378";"PIN4";"PIN4"
"ENSSHAT00000000379";"OXGR1";"OXGR1"
"ENSSHAT00000000380";"MRPL3";"MRPL3"
"ENSSHAT00000000381";NA;NA
"ENSSHAT00000000382";NA;NA
"ENSSHAT00000000383";NA;NA
"ENSSHAT00000000384";NA;NA
"ENSSHAT00000000385";NA;NA
"ENSSHAT00000000386";NA;NA
"ENSSHAT00000000387";"FAM63B";"FAM63B"
"ENSSHAT00000000388";NA;NA
"ENSSHAT00000000389";NA;NA
"ENSSHAT00000000390";NA;NA
"ENSSHAT00000000391";NA;NA
"ENSSHAT00000000392";"DHX34";"DHX34"
"ENSSHAT00000000393";"ABCF2";"ABCF2"
"ENSSHAT00000000394";"ABCF2";"ABCF2"
"ENSSHAT00000000395";"ALOX12";"ALOX12"
"ENSSHAT00000000396";NA;NA
"ENSSHAT00000000397";"YIPF4";"YIPF4"
"ENSSHAT00000000398";"MCM6";"MCM6"
"ENSSHAT00000000399";NA;NA
"ENSSHAT00000000400";"PPP2R4";"PPP2R4"
"ENSSHAT00000000401";"PPP2R4";"PPP2R4"
"ENSSHAT00000000402";NA;NA
"ENSSHAT00000000403";"NEK11";"NEK11"
"ENSSHAT00000000404";NA;NA
"ENSSHAT00000000405";NA;NA
"ENSSHAT00000000406";"EBF3";"EBF3"
"ENSSHAT00000000407";NA;NA
"ENSSHAT00000000408";NA;NA
"ENSSHAT00000000409";NA;NA
"ENSSHAT00000000410";NA;NA
"ENSSHAT00000000411";NA;NA
"ENSSHAT00000000412";NA;NA
"ENSSHAT00000000413";"PTPRE";"PTPRE"
"ENSSHAT00000000414";"POLA2";"POLA2"
"ENSSHAT00000000415";NA;NA
"ENSSHAT00000000416";NA;NA
"ENSSHAT00000000417";NA;NA
"ENSSHAT00000000418";"ZFAND2A";"ZFAND2A"
"ENSSHAT00000000419";NA;NA
"ENSSHAT00000000420";"FCAR";"FCAR"
"ENSSHAT00000000421";NA;NA
"ENSSHAT00000000422";NA;NA
"ENSSHAT00000000423";NA;NA
"ENSSHAT00000000424";NA;NA
"ENSSHAT00000000425";"RELL1";"RELL1"
"ENSSHAT00000000426";"SF3B3";"SF3B3"
"ENSSHAT00000000427";"SF3B3";"SF3B3"
"ENSSHAT00000000428";NA;NA
"ENSSHAT00000000429";NA;NA
"ENSSHAT00000000430";"SLC25A22";"SLC25A22"
"ENSSHAT00000000431";NA;NA
"ENSSHAT00000000432";"CORIN";"CORIN"
"ENSSHAT00000000433";"RRN3";"RRN3"
"ENSSHAT00000000434";NA;NA
"ENSSHAT00000000435";NA;NA
"ENSSHAT00000000436";NA;NA
"ENSSHAT00000000437";NA;NA
"ENSSHAT00000000438";NA;NA
"ENSSHAT00000000439";NA;NA
"ENSSHAT00000000440";NA;NA
"ENSSHAT00000000441";NA;NA
"ENSSHAT00000000442";NA;NA
"ENSSHAT00000000443";"GLIPR1L2";"GLIPR1L2"
"ENSSHAT00000000444";NA;NA
"ENSSHAT00000000445";NA;NA
"ENSSHAT00000000446";"MRPL49";"MRPL49"
"ENSSHAT00000000447";NA;NA
"ENSSHAT00000000448";"KCNQ2";"KCNQ2"
"ENSSHAT00000000449";NA;NA
"ENSSHAT00000000450";"TWSG1";"TWSG1"
"ENSSHAT00000000451";NA;NA
"ENSSHAT00000000452";NA;NA
"ENSSHAT00000000453";NA;NA
"ENSSHAT00000000454";"OMD";"OMD"
"ENSSHAT00000000455";NA;NA
"ENSSHAT00000000456";"CYP46A1";"CYP46A1"
"ENSSHAT00000000457";"OR4D6";"OR4D6"
"ENSSHAT00000000458";"TFR2";"TFR2"
"ENSSHAT00000000459";"CCKAR";"CCKAR"
"ENSSHAT00000000460";NA;NA
"ENSSHAT00000000461";NA;NA
"ENSSHAT00000000462";"RPL18A";"RPL18A"
"ENSSHAT00000000463";"DOCK8";"DOCK8"
"ENSSHAT00000000464";NA;NA
"ENSSHAT00000000465";NA;NA
"ENSSHAT00000000466";NA;NA
"ENSSHAT00000000467";NA;NA
"ENSSHAT00000000468";NA;NA
"ENSSHAT00000000469";"APOF";"APOF"
"ENSSHAT00000000470";"RNASEK";"RNASEK"
"ENSSHAT00000000471";NA;NA
"ENSSHAT00000000472";NA;NA
"ENSSHAT00000000473";"AGR3";"AGR3"
"ENSSHAT00000000474";"SYTL4";"SYTL4"
"ENSSHAT00000000475";"SYTL4";"SYTL4"
"ENSSHAT00000000476";NA;NA
"ENSSHAT00000000477";NA;NA
"ENSSHAT00000000478";"DHX37";"DHX37"
"ENSSHAT00000000479";"KISS1";"KISS1"
"ENSSHAT00000000480";NA;NA
"ENSSHAT00000000481";NA;NA
"ENSSHAT00000000482";"ANKS4B";"ANKS4B"
"ENSSHAT00000000483";NA;NA
"ENSSHAT00000000484";NA;NA
"ENSSHAT00000000485";NA;NA
"ENSSHAT00000000486";"OSBPL1A";"OSBPL1A"
"ENSSHAT00000000487";NA;NA
"ENSSHAT00000000488";"TIMELESS";"TIMELESS"
"ENSSHAT00000000489";"OSBPL8";"OSBPL8"
"ENSSHAT00000000490";NA;NA
"ENSSHAT00000000491";NA;NA
"ENSSHAT00000000492";NA;NA
"ENSSHAT00000000493";NA;NA
"ENSSHAT00000000494";NA;NA
"ENSSHAT00000000495";NA;NA
"ENSSHAT00000000496";NA;NA
"ENSSHAT00000000497";NA;NA
"ENSSHAT00000000498";NA;NA
"ENSSHAT00000000499";NA;NA
"ENSSHAT00000000500";NA;NA
"ENSSHAT00000000501";NA;NA
"ENSSHAT00000000502";NA;NA
"ENSSHAT00000000503";NA;NA
"ENSSHAT00000000504";NA;NA
"ENSSHAT00000000505";NA;NA
"ENSSHAT00000000506";"GAS2L2";"GAS2L2"
"ENSSHAT00000000507";NA;NA
"ENSSHAT00000000508";"ESF1";"ESF1"
"ENSSHAT00000000509";"ESF1";"ESF1"
"ENSSHAT00000000510";"ESF1";"ESF1"
"ENSSHAT00000000511";"MOV10";"MOV10"
"ENSSHAT00000000512";"MOV10";"MOV10"
"ENSSHAT00000000513";NA;NA
"ENSSHAT00000000514";"MARCH6";"MARCH6"
"ENSSHAT00000000515";NA;NA
"ENSSHAT00000000516";NA;NA
"ENSSHAT00000000517";NA;NA
"ENSSHAT00000000518";NA;NA
"ENSSHAT00000000519";NA;NA
"ENSSHAT00000000520";NA;NA
"ENSSHAT00000000521";NA;NA
"ENSSHAT00000000522";NA;NA
"ENSSHAT00000000523";"SLC30A10";"SLC30A10"
"ENSSHAT00000000524";NA;NA
"ENSSHAT00000000525";NA;NA
"ENSSHAT00000000526";NA;NA
"ENSSHAT00000000527";"FAM213B";"FAM213B"
"ENSSHAT00000000528";"RHAG";"RHAG"
"ENSSHAT00000000529";"RHAG";"RHAG"
"ENSSHAT00000000530";"ERBB2IP";"ERBB2IP"
"ENSSHAT00000000531";NA;NA
"ENSSHAT00000000532";"BDH2";"BDH2"
"ENSSHAT00000000533";"MSH2";"MSH2"
"ENSSHAT00000000534";NA;NA
"ENSSHAT00000000535";NA;NA
"ENSSHAT00000000536";NA;NA
"ENSSHAT00000000537";"BMX";"BMX"
"ENSSHAT00000000538";"BMX";"BMX"
"ENSSHAT00000000539";NA;NA
"ENSSHAT00000000540";NA;NA
"ENSSHAT00000000541";NA;NA
"ENSSHAT00000000542";"RAD51B";"RAD51B"
"ENSSHAT00000000543";NA;NA
"ENSSHAT00000000544";NA;NA
"ENSSHAT00000000545";NA;NA
"ENSSHAT00000000546";NA;NA
"ENSSHAT00000000547";"CDT1";"CDT1"
"ENSSHAT00000000548";"CDT1";"CDT1"
"ENSSHAT00000000549";"PPP2R1A";"PPP2R1A"
"ENSSHAT00000000550";NA;NA
"ENSSHAT00000000551";NA;NA
"ENSSHAT00000000552";"CRYZ";"CRYZ"
"ENSSHAT00000000553";"MTMR1";"MTMR1"
"ENSSHAT00000000554";NA;NA
"ENSSHAT00000000555";NA;NA
"ENSSHAT00000000556";NA;NA
"ENSSHAT00000000557";NA;NA
"ENSSHAT00000000558";NA;NA
"ENSSHAT00000000559";NA;NA
"ENSSHAT00000000560";NA;NA
"ENSSHAT00000000561";NA;NA
"ENSSHAT00000000562";"SRD5A2";"SRD5A2"
"ENSSHAT00000000563";NA;NA
"ENSSHAT00000000564";NA;NA
"ENSSHAT00000000565";NA;NA
"ENSSHAT00000000566";NA;NA
"ENSSHAT00000000567";"PFDN4";"PFDN4"
"ENSSHAT00000000568";"FUNDC1";"FUNDC1"
"ENSSHAT00000000569";NA;NA
"ENSSHAT00000000570";"EFCAB13";"EFCAB13"
"ENSSHAT00000000571";"EFCAB13";"EFCAB13"
"ENSSHAT00000000572";NA;NA
"ENSSHAT00000000573";"TOMM40";"TOMM40"
"ENSSHAT00000000574";NA;NA
"ENSSHAT00000000575";"FANCM";"FANCM"
"ENSSHAT00000000576";"FANCM";"FANCM"
"ENSSHAT00000000577";"STAT2";"STAT2"
"ENSSHAT00000000578";"STAT2";"STAT2"
"ENSSHAT00000000579";NA;NA
"ENSSHAT00000000580";"ASPN";"ASPN"
"ENSSHAT00000000581";NA;NA
"ENSSHAT00000000582";NA;NA
"ENSSHAT00000000583";NA;NA
"ENSSHAT00000000584";NA;NA
"ENSSHAT00000000585";NA;NA
"ENSSHAT00000000586";NA;NA
"ENSSHAT00000000587";"ECHDC2";"ECHDC2"
"ENSSHAT00000000588";NA;NA
"ENSSHAT00000000589";"SLC22A16";"SLC22A16"
"ENSSHAT00000000590";"MAP3K6";"MAP3K6"
"ENSSHAT00000000591";NA;NA
"ENSSHAT00000000592";"SLC39A9";"SLC39A9"
"ENSSHAT00000000593";"CCDC88A";"CCDC88A"
"ENSSHAT00000000594";"CCDC88A";"CCDC88A"
"ENSSHAT00000000595";"DLG3";"DLG3"
"ENSSHAT00000000596";"TRPA1";"TRPA1"
"ENSSHAT00000000597";"TRPA1";"TRPA1"
"ENSSHAT00000000598";"TRPA1";"TRPA1"
"ENSSHAT00000000599";"SYT14";"SYT14"
"ENSSHAT00000000600";"MIPOL1";"MIPOL1"
"ENSSHAT00000000601";NA;NA
"ENSSHAT00000000602";NA;NA
"ENSSHAT00000000603";NA;NA
"ENSSHAT00000000604";NA;NA
"ENSSHAT00000000605";NA;NA
"ENSSHAT00000000606";NA;NA
"ENSSHAT00000000607";"HLTF";"HLTF"
"ENSSHAT00000000608";"HLTF";"HLTF"
"ENSSHAT00000000609";"DSE";"DSE"
"ENSSHAT00000000610";"DSE";"DSE"
