"Chromosome.Name" "Gene.Start" "Gene.End" "Transcript.Start" "Transcription.Start.Site" "Transcript.End" "Ensembl.Gene.ID" "HGNC.IDs" "Ensembl.Protein.Family.IDs"
"Chr5_supercontig_000000008" 5018988 5143950 5022853 5143950 5143950 "ENSSHAG00000002141" "HGNC:25161" "ENSFM00800002003746"
"Chr5_supercontig_000000008" 5199763 5200979 5199763 5200979 5200979 "ENSSHAG00000006112" "          " "ENSFM00640001119661"
"Chr5_supercontig_000000008" 5213299 5218429 5213299 5213299 5218429 "ENSSHAG00000006295" "HGNC:8065 " "ENSFM00250000003985"
"Chr5_supercontig_000000008" 5222383 5228776 5222383 5228776 5228776 "ENSSHAG00000006410" "HGNC:1314 " "ENSFM00250000003605"
"Chr5_supercontig_000000008" 5252311 5258084 5252311 5252311 5258084 "ENSSHAG00000006774" "HGNC:12580" "ENSFM00250000007690"
"Chr5_supercontig_000000008" 5261370 5271418 5261370 5261370 5271418 "ENSSHAG00000006886" "HGNC:1313 " "ENSFM00250000005445"
"Chr5_supercontig_000000008" 5261370 5271418 5261370 5261370 5271159 "ENSSHAG00000006886" "HGNC:1313 " "ENSFM00250000005445"
"Chr5_supercontig_000000008" 5277133 5320026 5277133 5320026 5320026 "ENSSHAG00000007070" "HGNC:11112" "ENSFM00790001962984"
"Chr5_supercontig_000000008" 5321698 5327469 5321698 5321698 5327469 "ENSSHAG00000007544" "HGNC:13241" "ENSFM00500000272632"
"Chr5_supercontig_000000008" 5347172 5348062 5347172 5348062 5348062 "ENSSHAG00000007781" "          " "ENSFM00640001119662"
"Chr5_supercontig_000000008" 5364194 5396676 5364194 5364194 5396676 "ENSSHAG00000007948" "HGNC:3600 " "ENSFM00740001589233"
"Chr5_supercontig_000000008" 5436235 5488640 5436235 5436235 5488640 "ENSSHAG00000008605" "HGNC:10549" "ENSFM00250000007503"
"Chr5_supercontig_000000008" 5548129 5592795 5548129 5592795 5592795 "ENSSHAG00000009509" "HGNC:12787" "ENSFM00730001521480"
"Chr5_supercontig_000000009" 5946947 5988351 5946947 5988351 5988351 "ENSSHAG00000005521" "HGNC:33808" "ENSFM00250000010676"
"Chr5_supercontig_000000009" 5994867 6066215 5994867 6066215 6066215 "ENSSHAG00000006196" "HGNC:34000" "ENSFM00250000002679"
"Chr5_supercontig_000000009" 5994867 6066215 6004127 6026036 6026036 "ENSSHAG00000006196" "HGNC:34000" "ENSFM00250000002679"
"Chr5_supercontig_000000009" 5994867 6066215 6004653 6026126 6026126 "ENSSHAG00000006196" "HGNC:34000" "ENSFM00250000002679"
"Chr5_supercontig_000000009" 6066141 6093250 6066141 6093250 6093250 "ENSSHAG00000007078" "HGNC:17082" "ENSFM00250000007537"
"Chr5_supercontig_000000009" 6105613 6165411 6105613 6105613 6164085 "ENSSHAG00000007502" "HGNC:7201 " "ENSFM00250000001745"
"Chr5_supercontig_000000009" 6105613 6165411 6105614 6105614 6165411 "ENSSHAG00000007502" "HGNC:7201 " "ENSFM00250000001745"
"Chr5_supercontig_000000009" 6165506 6178148 6165506 6178148 6178148 "ENSSHAG00000008084" "          " "ENSFM00730001522359"
"Chr5_supercontig_000000009" 6242091 6261548 6242091 6242091 6258616 "ENSSHAG00000008744" "HGNC:28805" "ENSFM00250000005731"
"Chr5_supercontig_000000009" 6242091 6261548 6242097 6242097 6261548 "ENSSHAG00000008744" "HGNC:28805" "ENSFM00250000005731"
"Chr5_supercontig_000000009" 6269739 6276159 6269739 6269739 6276159 "ENSSHAG00000008961" "          " "ENSFM00670001237744"
"Chr5_supercontig_000000009" 6297221 6303285 6297221 6297221 6303285 "ENSSHAG00000009188" "          " "ENSFM00500000271284"
"Chr5_supercontig_000000009" 6297221 6303285 6297221 6297221 6302497 "ENSSHAG00000009188" "          " "ENSFM00500000271284"
"Chr5_supercontig_000000009" 6302883 6331131 6302883 6331131 6331131 "ENSSHAG00000009233" "HGNC:18127" "ENSFM00250000003852"
"Chr5_supercontig_000000009" 6333532 6342573 6333532 6342573 6342573 "ENSSHAG00000009493" "HGNC:18128" "ENSFM00730001522032"
"Chr5_supercontig_000000009" 6347297 6361085 6347297 6361085 6361085 "ENSSHAG00000009604" "HGNC:6874 " "ENSFM00460000244923"
"Chr5_supercontig_000000009" 6370150 6378257 6370150 6378257 6378257 "ENSSHAG00000009776" "HGNC:6873 " "ENSFM00460000244923"
"Chr5_supercontig_000000009" 6420700 6463533 6420700 6463533 6463533 "ENSSHAG00000010107" "HGNC:9104 " "ENSFM00730001521536"
"Chr5_supercontig_000000009" 6420700 6463533 6420700 6450766 6450766 "ENSSHAG00000010107" "HGNC:9104 " "ENSFM00730001521536"
"Chr5_supercontig_000000009" 6523366 6536384 6523366 6536384 6536384 "ENSSHAG00000010749" "HGNC:32690" "ENSFM00250000002284"
"Chr5_supercontig_000000009" 6606933 6697796 6606933 6606933 6697796 "ENSSHAG00000011257" "HGNC:19253" "ENSFM00250000001098"
"Chr5_supercontig_000000010" 6697863 6707697 6697863 6697863 6707697 "ENSSHAG00000000189" "HGNC:25071" "ENSFM00250000004071"
"Chr5_supercontig_000000010" 6710204 6717074 6710204 6716731 6716731 "ENSSHAG00000001515" "HGNC:3148 " "ENSFM00250000009382"
"Chr5_supercontig_000000010" 6710204 6717074 6711045 6717074 6717074 "ENSSHAG00000001515" "HGNC:3148 " "ENSFM00250000009382"
"Chr5_supercontig_000000010" 6752142 6753917 6752142 6752142 6753917 "ENSSHAG00000003175" "HGNC:25145" "ENSFM00250000005444"
"Chr5_supercontig_000000010" 6764166 6775111 6764166 6775111 6775111 "ENSSHAG00000003537" "HGNC:2329 " "ENSFM00500000269758"
"Chr5_supercontig_000000010" 6778810 6782049 6778810 6782049 6782049 "ENSSHAG00000003934" "          " "ENSFM00250000001707"
"Chr5_supercontig_000000010" 6812627 6825126 6812627 6812627 6825126 "ENSSHAG00000004654" "HGNC:6883 " "ENSFM00250000002469"
"Chr5_supercontig_000000010" 6847913 6853721 6847913 6853721 6853721 "ENSSHAG00000005296" "HGNC:713  " "ENSFM00600000921289"
"Chr5_supercontig_000000010" 6876462 6917168 6876462 6876462 6917168 "ENSSHAG00000005749" "          " "ENSFM00250000000743"
"Chr5_supercontig_000000010" 6952976 6976506 6952976 6952976 6976506 "ENSSHAG00000006747" "          " "ENSFM00500000271412"
"Chr5_supercontig_000000010" 7312429 7312836 7312429 7312429 7312836 "ENSSHAG00000009953" "HGNC:17809" "ENSFM00250000005850"
"Chr5_supercontig_000000010" 7326709 7389798 7326709 7326709 7389798 "ENSSHAG00000010042" "HGNC:29335" "ENSFM00250000009037"
"Chr5_supercontig_000000011" 7430572 7445992 7430572 7445992 7445992 "ENSSHAG00000001501" "HGNC:24276" "ENSFM00500000271410"
"Chr5_supercontig_000000011" 7455142 7470400 7455142 7470400 7470400 "ENSSHAG00000002603" "HGNC:18590" "ENSFM00500000270145"
"Chr5_supercontig_000000011" 7502550 7527762 7502550 7502550 7527762 "ENSSHAG00000004007" "HGNC:24888" "ENSFM00500000270145"
"Chr5_supercontig_000000011" 7527927 7572527 7527927 7527927 7572527 "ENSSHAG00000004543" "HGNC:14903" "ENSFM00500000272019"
"Chr5_supercontig_000000011" 7588647 7769950 7588647 7769950 7769950 "ENSSHAG00000005626" "HGNC:13441" "ENSFM00250000001130"
"Chr5_supercontig_000000011" 7895903 7962328 7895903 7895903 7962328 "ENSSHAG00000008891" "HGNC:1306 " "ENSFM00500000270317"
"Chr5_supercontig_000000011" 7982059 8185787 7982059 8185787 8185787 "ENSSHAG00000009599" "HGNC:24204" "ENSFM00250000006768"
"Chr5_supercontig_000000014" 8755321 8756887 8755321 8755321 8756887 "ENSSHAG00000009409" "HGNC:21589" "ENSFM00670001235698"
"Chr5_supercontig_000000014" 9348947 9506331 9348947 9348947 9506331 "ENSSHAG00000012933" "HGNC:12613" "ENSFM00570000851025"
"Chr5_supercontig_000000014" 9578750 9711710 9578750 9578750 9711710 "ENSSHAG00000013976" "HGNC:29177" "ENSFM00730001522201"
"Chr5_supercontig_000000014" 9578750 9711710 9578750 9578750 9708474 "ENSSHAG00000013976" "HGNC:29177" "ENSFM00730001522201"
"Chr5_supercontig_000000014" 9792949 9831722 9792949 9831722 9831722 "ENSSHAG00000014778" "HGNC:18583" "ENSFM00250000002013"
"Chr5_supercontig_000000015" 11355334 11361982 11355334 11361982 11361982 "ENSSHAG00000005512" "HGNC:895  " "ENSFM00260000050393"
"Chr5_supercontig_000000015" 11355334 11361982 11356213 11361982 11361982 "ENSSHAG00000005512" "HGNC:895  " "ENSFM00260000050393"
"Chr5_supercontig_000000016" 11415114 11421836 11415114 11421836 11421836 "ENSSHAG00000000735" "          " "ENSFM00250000000002"
"Chr5_supercontig_000000017" 11596762 11645993 11596762 11596762 11645993 "ENSSHAG00000004822" "HGNC:30208" "ENSFM00500000271379"
"Chr5_supercontig_000000017" 11647082 11715720 11647082 11715720 11715720 "ENSSHAG00000005669" "HGNC:25531" "ENSFM00250000000622"
"Chr5_supercontig_000000017" 11647082 11715720 11661805 11715720 11715720 "ENSSHAG00000005669" "HGNC:25531" "ENSFM00250000000622"
"Chr5_supercontig_000000020" 12190288 12190638 12190288 12190638 12190638 "ENSSHAG00000008727" "          " "ENSFM00640001119663"
"Chr5_supercontig_000000020" 12191383 12203800 12191383 12191383 12203800 "ENSSHAG00000008737" "HGNC:9607 " "ENSFM00250000003745"
"Chr5_supercontig_000000020" 12191383 12203800 12191383 12191383 12199865 "ENSSHAG00000008737" "HGNC:9607 " "ENSFM00250000003745"
"Chr5_supercontig_000000020" 12256305 12274090 12256305 12256305 12274090 "ENSSHAG00000009260" "          " "ENSFM00250000001883"
"Chr5_supercontig_000000020" 12286434 12303601 12286434 12286434 12303601 "ENSSHAG00000009507" "HGNC:16635" "ENSFM00250000004577"
"Chr5_supercontig_000000020" 12385818 12477241 12385818 12477241 12477241 "ENSSHAG00000010220" "HGNC:29252" "ENSFM00250000007899"
"Chr5_supercontig_000000020" 12385818 12477241 12442719 12477241 12477241 "ENSSHAG00000010220" "HGNC:29252" "ENSFM00250000007899"
"Chr5_supercontig_000000020" 12385818 12477241 12442719 12476944 12476944 "ENSSHAG00000010220" "HGNC:29252" "ENSFM00250000007899"
"Chr5_supercontig_000000020" 12495535 12500455 12495535 12495535 12500455 "ENSSHAG00000010881" "HGNC:40023" "ENSFM00250000036469"
"Chr5_supercontig_000000021" 12970556 12985231 12970556 12985231 12985231 "ENSSHAG00000003522" "HGNC:24859" "ENSFM00500000272078"
"Chr5_supercontig_000000021" 13028173 13033369 13028173 13033369 13033369 "ENSSHAG00000004818" "HGNC:6740 " "ENSFM00500000270117"
"Chr5_supercontig_000000021" 13151259 13172329 13151259 13172329 13172329 "ENSSHAG00000006635" "HGNC:13871" "ENSFM00600000921459"
"Chr5_supercontig_000000021" 13484680 13554324 13484680 13484680 13554324 "ENSSHAG00000009724" "HGNC:2311 " "ENSFM00730001521968"
"Chr5_supercontig_000000021" 13567724 13602219 13567724 13602219 13602219 "ENSSHAG00000010284" "          " "ENSFM00500000270168"
"Chr5_supercontig_000000021" 13630843 13641849 13630843 13641849 13641849 "ENSSHAG00000010664" "HGNC:20864" "ENSFM00250000007587"
"Chr5_supercontig_000000021" 13657659 13716038 13657659 13716038 13716038 "ENSSHAG00000010817" "HGNC:29914" "ENSFM00250000005094"
"Chr5_supercontig_000000021" 13762929 13776470 13762929 13776470 13776470 "ENSSHAG00000011497" "HGNC:9857 " "ENSFM00730001521249"
"Chr5_supercontig_000000022" 14112743 14115170 14112743 14112743 14115170 "ENSSHAG00000004750" "          " "ENSFM00250000000217"
"Chr5_supercontig_000000022" 14142904 14146953 14142904 14142904 14146953 "ENSSHAG00000005303" "HGNC:9461 " "ENSFM00730001521291"
"Chr5_supercontig_000000022" 14162427 14168935 14162427 14162427 14168935 "ENSSHAG00000005623" "HGNC:12327" "ENSFM00550000761084"
"Chr5_supercontig_000000022" 14169586 14175747 14169586 14175747 14175747 "ENSSHAG00000005722" "HGNC:31416" "ENSFM00500000270217"
"Chr5_supercontig_000000022" 14169586 14175747 14169586 14173531 14173531 "ENSSHAG00000005722" "HGNC:31416" "ENSFM00500000270217"
"Chr5_supercontig_000000022" 14274529 14369308 14274529 14274529 14369308 "ENSSHAG00000007068" "HGNC:18650" "ENSFM00520000517852"
"Chr5_supercontig_000000022" 14274529 14369308 14300098 14300098 14369099 "ENSSHAG00000007068" "HGNC:18650" "ENSFM00520000517852"
"Chr5_supercontig_000000022" 14274529 14369308 14300803 14300803 14369099 "ENSSHAG00000007068" "HGNC:18650" "ENSFM00520000517852"
"Chr5_supercontig_000000022" 14410980 14443360 14410980 14410980 14443360 "ENSSHAG00000008412" "HGNC:6252 " "ENSFM00730001521919"
"Chr5_supercontig_000000022" 14410980 14443360 14411997 14411997 14443360 "ENSSHAG00000008412" "HGNC:6252 " "ENSFM00730001521919"
"Chr5_supercontig_000000022" 14444061 14453494 14444061 14453494 14453494 "ENSSHAG00000008687" "HGNC:6960 " "ENSFM00250000005017"
"Chr5_supercontig_000000022" 14497859 14520936 14497859 14520936 14520936 "ENSSHAG00000009120" "HGNC:25296" "ENSFM00250000005017"
"Chr5_supercontig_000000022" 14532436 14541810 14532436 14532436 14541810 "ENSSHAG00000009400" "HGNC:25031" "ENSFM00250000002226"
"Chr5_supercontig_000000022" 14544660 14619242 14544660 14619242 14619242 "ENSSHAG00000009503" "HGNC:23698" "ENSFM00350000105407"
"Chr5_supercontig_000000022" 14666765 14682296 14666765 14666765 14682296 "ENSSHAG00000010366" "          " "ENSFM00250000004523"
"Chr5_supercontig_000000022" 14708468 14742656 14708468 14742656 14742656 "ENSSHAG00000010610" "HGNC:29321" "ENSFM00250000008338"
"Chr5_supercontig_000000022" 14775059 14780718 14775059 14780718 14780718 "ENSSHAG00000011007" "HGNC:27050" "ENSFM00250000007441"
"Chr5_supercontig_000000022" 14795911 14849732 14795911 14849732 14849732 "ENSSHAG00000011130" "HGNC:17067" "ENSFM00500000269895"
"Chr5_supercontig_000000022" 14795911 14849732 14795911 14837037 14837037 "ENSSHAG00000011130" "HGNC:17067" "ENSFM00500000269895"
"Chr5_supercontig_000000024" 14964512 14979257 14964512 14964512 14979257 "ENSSHAG00000003038" "HGNC:634  " "ENSFM00500000269653"
"Chr5_supercontig_000000024" 14990774 14993760 14990774 14990774 14993760 "ENSSHAG00000003796" "HGNC:638  " "ENSFM00500000269653"
"Chr5_supercontig_000000024" 15013395 15019678 15013395 15013395 15019678 "ENSSHAG00000004298" "HGNC:639  " "ENSFM00500000269653"
"Chr5_supercontig_000000024" 15013395 15019678 15013497 15013497 15019678 "ENSSHAG00000004298" "HGNC:639  " "ENSFM00500000269653"
"Chr5_supercontig_000000024" 15037464 15066384 15037464 15066384 15066384 "ENSSHAG00000004789" "HGNC:9804 " "ENSFM00250000002337"
"Chr5_supercontig_000000024" 15114691 15144927 15114691 15114691 15144927 "ENSSHAG00000006030" "HGNC:100  " "ENSFM00250000000608"
"Chr5_supercontig_000000024" 15149875 15156981 15149875 15149875 15156981 "ENSSHAG00000006504" "HGNC:11106" "ENSFM00250000001625"
"Chr5_supercontig_000000024" 15161375 15166616 15161375 15161375 15166616 "ENSSHAG00000006628" "HGNC:4455 " "ENSFM00800002003402"
"Chr5_supercontig_000000024" 15186716 15194495 15186716 15194495 15194495 "ENSSHAG00000006944" "HGNC:23749" "ENSFM00730001521823"
"Chr5_supercontig_000000024" 15220650 15327471 15220650 15327471 15327471 "ENSSHAG00000007318" "HGNC:24636" "ENSFM00500000271499"
"Chr5_supercontig_000000025" 15507200 15536443 15507200 15536443 15536443 "ENSSHAG00000001466" "          " "ENSFM00500000273268"
"Chr5_supercontig_000000025" 15609619 15637584 15609619 15637584 15637584 "ENSSHAG00000004637" "HGNC:783  " "ENSFM00250000000600"
"Chr5_supercontig_000000025" 15681176 15778049 15681176 15778049 15778049 "ENSSHAG00000005854" "HGNC:29284" "ENSFM00250000000652"
"Chr5_supercontig_000000026" 16048251 16072698 16048251 16072698 16072698 "ENSSHAG00000005557" "HGNC:30991" "ENSFM00250000001262"
"Chr5_supercontig_000000028" 16347876 16377572 16347876 16377572 16377572 "ENSSHAG00000000431" "HGNC:11813" "ENSFM00250000002300"
"Chr5_supercontig_000000028" 16380309 16382901 16380309 16382901 16382901 "ENSSHAG00000002486" "HGNC:7103 " "ENSFM00500000269653"
"Chr5_supercontig_000000028" 16410099 16411372 16410099 16410099 16411372 "ENSSHAG00000003426" "HGNC:27468" "ENSFM00260000051295"
"Chr5_supercontig_000000028" 16413225 16426304 16413225 16426304 16426304 "ENSSHAG00000003536" "HGNC:29570" "ENSFM00250000001281"
"Chr5_supercontig_000000028" 16476616 16514924 16476616 16476616 16514924 "ENSSHAG00000004939" "HGNC:9909 " "ENSFM00250000000990"
"Chr5_supercontig_000000028" 16476616 16514924 16501077 16501077 16514924 "ENSSHAG00000004939" "HGNC:9909 " "ENSFM00250000000990"
"Chr5_supercontig_000000028" 16540780 16563810 16540780 16563810 16563810 "ENSSHAG00000005956" "HGNC:26024" "ENSFM00250000002851"
"Chr5_supercontig_000000028" 16606575 16632292 16606575 16632292 16632292 "ENSSHAG00000006801" "HGNC:1599 " "ENSFM00500000270241"
"Chr5_supercontig_000000028" 16606575 16632292 16613258 16632283 16632283 "ENSSHAG00000006801" "HGNC:1599 " "ENSFM00500000270241"
"Chr5_supercontig_000000028" 16657972 16678733 16657972 16657972 16678733 "ENSSHAG00000007370" "HGNC:237  " "ENSFM00730001521247"
"Chr5_supercontig_000000028" 16681142 16688277 16681142 16688277 16688277 "ENSSHAG00000007601" "          " "ENSFM00640001109129"
"Chr5_supercontig_000000028" 16743829 16744770 16743829 16744770 16744770 "ENSSHAG00000008230" "          " "ENSFM00730001521233"
"Chr5_supercontig_000000028" 16756812 16757783 16756812 16756812 16757783 "ENSSHAG00000008344" "          " "ENSFM00730001521122"
"Chr5_supercontig_000000028" 16795559 16796601 16795559 16795559 16796601 "ENSSHAG00000008663" "          " "ENSFM00730001521122"
"Chr5_supercontig_000000028" 16847294 16848235 16847294 16847294 16848235 "ENSSHAG00000009074" "          " "ENSFM00730001521122"
"Chr5_supercontig_000000028" 16865606 16866541 16865606 16865606 16866541 "ENSSHAG00000009228" "          " "ENSFM00730001521122"
"Chr5_supercontig_000000029" 17127760 17219820 17127760 17127760 17219820 "ENSSHAG00000001158" "HGNC:18708" "ENSFM00740001589268"
"Chr5_supercontig_000000029" 17223543 17268699 17223543 17268699 17268699 "ENSSHAG00000004423" "HGNC:17196" "ENSFM00250000007677"
"Chr5_supercontig_000000029" 17223543 17268699 17223543 17268690 17268690 "ENSSHAG00000004423" "HGNC:17196" "ENSFM00250000007677"
"Chr5_supercontig_000000029" 17323893 17374103 17323893 17374103 17374103 "ENSSHAG00000006102" "HGNC:17020" "ENSFM00500000273184"
"Chr5_supercontig_000000029" 17381674 17404338 17381674 17381674 17404338 "ENSSHAG00000006829" "          " "ENSFM00500000271287"
"Chr5_supercontig_000000029" 17408478 17411198 17408478 17408478 17411198 "ENSSHAG00000007142" "HGNC:28229" "ENSFM00600000921940"
"Chr5_supercontig_000000029" 18195859 18315956 18195859 18315956 18315956 "ENSSHAG00000012658" "HGNC:27375" "ENSFM00640001110333"
"Chr5_supercontig_000000029" 18375877 18385153 18375877 18385153 18385153 "ENSSHAG00000013539" "          " "ENSFM00250000004672"
"Chr5_supercontig_000000029" 18386572 18448611 18386572 18448611 18448611 "ENSSHAG00000013576" "          " "ENSFM00250000004672"
"Chr5_supercontig_000000030" 18570637 18576154 18570637 18576154 18576154 "ENSSHAG00000002846" "          " "ENSFM00640001119664"
"Chr5_supercontig_000000030" 18705241 18714791 18705241 18714791 18714791 "ENSSHAG00000005735" "          " "ENSFM00640001119665"
"Chr5_supercontig_000000030" 18805485 18819995 18805485 18819995 18819995 "ENSSHAG00000007020" "HGNC:29109" "ENSFM00250000009567"
"Chr5_supercontig_000000030" 18883226 18884908 18883226 18884908 18884908 "ENSSHAG00000007815" "          " "ENSFM00250000001923"
"Chr5_supercontig_000000030" 18935911 18936915 18935911 18935911 18936915 "ENSSHAG00000008330" "HGNC:13802" "ENSFM00500000269955"
"Chr5_supercontig_000000030" 19065606 19066559 19065606 19065606 19066559 "ENSSHAG00000009388" "          " "ENSFM00740001589312"
"Chr5_supercontig_000000030" 19103360 19104301 19103360 19103360 19104301 "ENSSHAG00000009693" "          " "ENSFM00740001589312"
"Chr5_supercontig_000000030" 19210865 19211815 19210865 19210865 19211815 "ENSSHAG00000010419" "HGNC:15329" "ENSFM00730001521233"
"Chr5_supercontig_000000030" 19616131 19624110 19616131 19624110 19624110 "ENSSHAG00000012724" "HGNC:3093 " "ENSFM00770001847544"
"Chr5_supercontig_000000031" 19773899 19804261 19773899 19804261 19804261 "ENSSHAG00000001811" "HGNC:30688" "ENSFM00250000001833"
"Chr5_supercontig_000000033" 20053288 20068577 20053288 20053288 20068577 "ENSSHAG00000004919" "HGNC:16971" "ENSFM00250000003196"
"Chr5_supercontig_000000033" 20079545 20100502 20079545 20079545 20100502 "ENSSHAG00000005384" "HGNC:1615 " "ENSFM00500000270021"
"Chr5_supercontig_000000033" 20105008 20105841 20105008 20105841 20105841 "ENSSHAG00000005775" "HGNC:20264" "ENSFM00670001236003"
"Chr5_supercontig_000000033" 20155319 20206347 20155319 20206347 20206347 "ENSSHAG00000006449" "HGNC:17105" "ENSFM00250000000736"
"Chr5_supercontig_000000034" 20483375 20586352 20483375 20483375 20586352 "ENSSHAG00000005001" "HGNC:7878 " "ENSFM00250000002512"
"Chr5_supercontig_000000034" 20483375 20586352 20523156 20523156 20586352 "ENSSHAG00000005001" "HGNC:7878 " "ENSFM00250000002512"
"Chr5_supercontig_000000034" 20602127 20757739 20602127 20602127 20757739 "ENSSHAG00000006717" "HGNC:6289 " "ENSFM00500000274253"
"Chr5_supercontig_000000034" 20784378 20894219 20784378 20894219 20894219 "ENSSHAG00000008544" "HGNC:9665 " "ENSFM00310000089006"
"Chr5_supercontig_000000034" 20969542 20992180 20969542 20992180 20992180 "ENSSHAG00000009988" "HGNC:9680 " "ENSFM00280000058726"
"Chr5_supercontig_000000035" 21041153 21093026 21041153 21093026 21093026 "ENSSHAG00000002431" "HGNC:28328" "ENSFM00250000004692"
"Chr5_supercontig_000000035" 21091302 21091604 21091302 21091302 21091604 "ENSSHAG00000003959" "          " "ENSFM00640001119666"
"Chr5_supercontig_000000036" 21131823 21232159 21131823 21131823 21232159 "ENSSHAG00000002174" "HGNC:25694" "ENSFM00730001521999"
"Chr5_supercontig_000000036" 21131823 21232159 21160488 21160488 21232159 "ENSSHAG00000002174" "HGNC:25694" "ENSFM00730001521999"
"Chr5_supercontig_000000036" 21243506 21303352 21243506 21243506 21303352 "ENSSHAG00000005058" "HGNC:20692" "ENSFM00800002003538"
"Chr5_supercontig_000000037" 21498249 21516142 21498249 21498249 21516142 "ENSSHAG00000005500" "HGNC:30748" "ENSFM00250000000130"
"Chr5_supercontig_000000038" 21914646 21918738 21914646 21918738 21918738 "ENSSHAG00000003523" "HGNC:6234 " "ENSFM00260000050384"
"Chr5_supercontig_000000039" 21968388 21976070 21968388 21976070 21976070 "ENSSHAG00000001800" "HGNC:26291" "ENSFM00250000008641"
"Chr5_supercontig_000000039" 21968388 21976070 21969993 21975220 21975220 "ENSSHAG00000001800" "HGNC:26291" "ENSFM00250000008641"
"Chr5_supercontig_000000040" 22066829 22165151 22066829 22066829 22165151 "ENSSHAG00000003544" "HGNC:18412" "ENSFM00500000270112"
"Chr5_supercontig_000000040" 22066829 22165151 22066829 22066829 22112088 "ENSSHAG00000003544" "HGNC:18412" "ENSFM00500000270112"
"Chr5_supercontig_000000040" 22167425 22204360 22167425 22204360 22204360 "ENSSHAG00000005571" "HGNC:2470 " "ENSFM00740001589223"
"Chr5_supercontig_000000042" 22227684 22331664 22227684 22227684 22331664 "ENSSHAG00000001971" "HGNC:15998" "ENSFM00250000000514"
"Chr5_supercontig_000000042" 22227684 22331664 22234257 22234257 22325249 "ENSSHAG00000001971" "HGNC:15998" "ENSFM00250000000514"
"Chr5_supercontig_000000043" 23566312 24121774 23566312 23566312 24121774 "ENSSHAG00000009436" "HGNC:11509" "ENSFM00720001492031"
"Chr5_supercontig_000000043" 23927296 23927827 23927296 23927296 23927827 "ENSSHAG00000011769" "          " "ENSFM00640001119667"
"Chr5_supercontig_000000043" 24231838 24234058 24231838 24234058 24234058 "ENSSHAG00000013300" "HGNC:8614 " "ENSFM00640001111371"
