"Contig" "Length" "Chromosome_Position"
"Chr1_supercontig_000000074" 846588 125468239
"Chr1_supercontig_000000075" 2129789 127598028
"Chr1_supercontig_000000076" 4290883 131888911
"Chr1_supercontig_000000077" 1840732 133729643
"Chr1_supercontig_000000078" 3137894 136867537
"Chr1_supercontig_000000079" 1128347 137995884
"Chr1_supercontig_000000080" 181337 138177221
"Chr1_supercontig_000000081" 1267133 139444354
"Chr1_supercontig_000000082" 212341 139656695
"Chr1_supercontig_000000083" 727427 140384122
"Chr1_supercontig_000000084" 2315876 142699998
"Chr1_supercontig_000000085" 2602 142702600
"Chr1_supercontig_000000086" 1389864 144092464
"Chr1_supercontig_000000087" 84809 144177273
"Chr1_supercontig_000000088" 1524575 145701848
"Chr1_supercontig_000000089" 2637344 148339192
"Chr1_supercontig_000000090" 4258302 152597494
"Chr1_supercontig_000000091" 479610 153077104
"Chr1_supercontig_000000092" 10154 153087258
"Chr1_supercontig_000000093" 824590 153911848
"Chr1_supercontig_000000094" 2883457 156795305
"Chr1_supercontig_000000095" 4896948 161692253
"Chr1_supercontig_000000096" 2779096 164471349
"Chr1_supercontig_000000097" 460188 164931537
"Chr1_supercontig_000000098" 443688 165375225
"Chr1_supercontig_000000099" 2899524 168274749
"Chr1_supercontig_000000100" 1247028 169521777
"Chr1_supercontig_000000101" 1900906 171422683
"Chr1_supercontig_000000102" 2440192 173862875
"Chr1_supercontig_000000103" 944890 174807765
"Chr1_supercontig_000000104" 1959724 176767489
"Chr1_supercontig_000000105" 26181 176793670
"Chr1_supercontig_000000106" 98220 176891890
"Chr1_supercontig_000000107" 828177 177720067
"Chr1_supercontig_000000108" 144830 177864897
"Chr1_supercontig_000000109" 2015843 179880740
"Chr1_supercontig_000000110" 495974 180376714
"Chr1_supercontig_000000111" 745718 181122432
"Chr1_supercontig_000000112" 940961 182063393
"Chr1_supercontig_000000113" 251758 182315151
"Chr1_supercontig_000000114" 612035 182927186
"Chr1_supercontig_000000115" 2599560 185526746
"Chr1_supercontig_000000116" 2406482 187933228
"Chr1_supercontig_000000117" 1243895 189177123
"Chr1_supercontig_000000118" 969976 190147099
"Chr1_supercontig_000000119" 1874806 192021905
"Chr1_supercontig_000000120" 490216 192512121
"Chr1_supercontig_000000121" 636782 193148903
"Chr1_supercontig_000000122" 277956 193426859
"Chr1_supercontig_000000123" 507769 193934628
"Chr1_supercontig_000000124" 1111358 195045986
"Chr1_supercontig_000000125" 371457 195417443
"Chr1_supercontig_000000126" 1300213 196717656
"Chr1_supercontig_000000127" 2928594 199646250
"Chr1_supercontig_000000128" 4520778 204167028
"Chr1_supercontig_000000129" 5126039 209293067
"Chr1_supercontig_000000130" 3882364 213175431
"Chr1_supercontig_000000131" 1723193 214898624
"Chr1_supercontig_000000132" 220946 215119570
"Chr1_supercontig_000000133" 808526 215928096
"Chr1_supercontig_000000134" 1967449 217895545
"Chr1_supercontig_000000135" 978530 218874075
"Chr1_supercontig_000000136" 299259 219173334
"Chr1_supercontig_000000137" 1145756 220319090
"Chr1_supercontig_000000138" 39509 220358599
"Chr1_supercontig_000000139" 1074244 221432843
"Chr1_supercontig_000000140" 437696 221870539
"Chr1_supercontig_000000141" 174495 222045034
"Chr1_supercontig_000000142" 1348740 223393774
"Chr1_supercontig_000000143" 240173 223633947
"Chr1_supercontig_000000144" 190096 223824043
"Chr1_supercontig_000000145" 119425 223943468
"Chr1_supercontig_000000146" 210234 224153702
"Chr1_supercontig_000000147" 385800 224539502
"Chr1_supercontig_000000148" 193416 224732918
"Chr1_supercontig_000000149" 284257 225017175
"Chr1_supercontig_000000150" 121745 225138920
"Chr1_supercontig_000000151" 266013 225404933
"Chr1_supercontig_000000152" 111829 225516762
"Chr1_supercontig_000000153" 1078622 226595384
"Chr1_supercontig_000000154" 607864 227203248
"Chr1_supercontig_000000155" 458019 227661267
"Chr1_supercontig_000000156" 297621 227958888
"Chr1_supercontig_000000157" 175548 228134436
"Chr1_supercontig_000000158" 132174 228266610
"Chr1_supercontig_000000159" 96969 228363579
"Chr1_supercontig_000000160" 88292 228451871
"Chr1_supercontig_000000161" 283294 228735165
"Chr1_supercontig_000000162" 157234 228892399
"Chr1_supercontig_000000163" 157766 229050165
"Chr1_supercontig_000000164" 291484 229341649
"Chr1_supercontig_000000165" 4095015 233436664
"Chr1_supercontig_000000166" 358513 233795177
"Chr1_supercontig_000000167" 730720 234525897
"Chr1_supercontig_000000168" 1371191 235897088
"Chr1_supercontig_000000169" 8472 235905560
"Chr1_supercontig_000000170" 1430361 237335921
"Chr1_supercontig_000000171" 2552149 239888070
"Chr1_supercontig_000000172" 671814 240559884
"Chr1_supercontig_000000173" 167380 240727264
"Chr1_supercontig_000000174" 424983 241152247
"Chr1_supercontig_000000175" 1810361 242962608
"Chr1_supercontig_000000176" 2630161 245592769
"Chr1_supercontig_000000177" 2876035 248468804
"Chr1_supercontig_000000178" 171952 248640756
"Chr1_supercontig_000000179" 1803700 250444456
"Chr1_supercontig_000000180" 321089 250765545
"Chr1_supercontig_000000181" 1619216 252384761
"Chr1_supercontig_000000182" 1389749 253774510
"Chr1_supercontig_000000183" 2280086 256054596
"Chr1_supercontig_000000184" 1176591 257231187
"Chr1_supercontig_000000185" 1352269 258583456
"Chr1_supercontig_000000186" 535543 259118999
"Chr1_supercontig_000000187" 120877 259239876
"Chr1_supercontig_000000188" 1121939 260361815
"Chr1_supercontig_000000189" 445819 260807634
"Chr1_supercontig_000000190" 426181 261233815
"Chr1_supercontig_000000191" 4169199 265403014
"Chr1_supercontig_000000192" 177384 265580398
"Chr1_supercontig_000000193" 1422491 267002889
"Chr1_supercontig_000000194" 221091 267223980
"Chr1_supercontig_000000195" 162116 267386096
"Chr1_supercontig_000000196" 2052443 269438539
"Chr1_supercontig_000000197" 4622050 274060589
"Chr1_supercontig_000000198" 1246983 275307572
"Chr1_supercontig_000000199" 435995 275743567
"Chr1_supercontig_000000200" 151088 275894655
"Chr1_supercontig_000000201" 409877 276304532
"Chr1_supercontig_000000202" 1463495 277768027
"Chr1_supercontig_000000203" 581717 278349744
"Chr1_supercontig_000000204" 668470 279018214
"Chr1_supercontig_000000205" 1721527 280739741
"Chr1_supercontig_000000206" 4759636 285499377
"Chr1_supercontig_000000207" 1173659 286673036
"Chr1_supercontig_000000208" 1751647 288424683
"Chr1_supercontig_000000209" 961709 289386392
"Chr1_supercontig_000000210" 1627245 291013637
"Chr1_supercontig_000000211" 772136 291785773
"Chr1_supercontig_000000212" 2870123 294655896
"Chr1_supercontig_000000213" 3993140 298649036
"Chr1_supercontig_000000214" 839823 299488859
"Chr1_supercontig_000000215" 4070047 303558906
"Chr1_supercontig_000000216" 3851386 307410292
"Chr1_supercontig_000000217" 1617535 309027827
"Chr1_supercontig_000000218" 1532789 310560616
"Chr1_supercontig_000000219" 177821 310738437
"Chr1_supercontig_000000220" 1049744 311788181
"Chr1_supercontig_000000221" 3347927 315136108
"Chr1_supercontig_000000222" 440943 315577051
"Chr1_supercontig_000000223" 3539514 319116565
"Chr1_supercontig_000000224" 1145992 320262557
"Chr1_supercontig_000000225" 2638213 322900770
"Chr1_supercontig_000000226" 684390 323585160
"Chr1_supercontig_000000227" 955332 324540492
"Chr1_supercontig_000000228" 2348100 326888592
"Chr1_supercontig_000000229" 271940 327160532
"Chr1_supercontig_000000230" 49219 327209751
"Chr1_supercontig_000000231" 2218188 329427939
"Chr1_supercontig_000000232" 1739762 331167701
"Chr1_supercontig_000000233" 4570869 335738570
"Chr1_supercontig_000000234" 4712555 340451125
"Chr1_supercontig_000000235" 2879187 343330312
"Chr1_supercontig_000000236" 1652134 344982446
"Chr1_supercontig_000000237" 1124606 346107052
"Chr1_supercontig_000000238" 2003497 348110549
"Chr1_supercontig_000000239" 4707063 352817612
"Chr1_supercontig_000000240" 4317691 357135303
"Chr1_supercontig_000000241" 461638 357596941
"Chr1_supercontig_000000242" 3694097 361291038
"Chr1_supercontig_000000243" 115592 361406630
"Chr1_supercontig_000000244" 1506771 362913401
"Chr1_supercontig_000000245" 575043 363488444
"Chr1_supercontig_000000246" 1139472 364627916
"Chr1_supercontig_000000247" 3630962 368258878
"Chr1_supercontig_000000248" 971826 369230704
"Chr1_supercontig_000000249" 741934 369972638
"Chr1_supercontig_000000250" 3645505 373618143
"Chr1_supercontig_000000251" 737683 374355826
"Chr1_supercontig_000000252" 800785 375156611
"Chr1_supercontig_000000253" 2255477 377412088
"Chr1_supercontig_000000254" 1466726 378878814
"Chr1_supercontig_000000255" 2805628 381684442
"Chr1_supercontig_000000256" 4379462 386063904
"Chr1_supercontig_000000257" 854643 386918547
"Chr1_supercontig_000000258" 2927981 389846528
"Chr1_supercontig_000000259" 3800683 393647211
"Chr1_supercontig_000000260" 401703 394048914
"Chr1_supercontig_000000261" 244401 394293315
"Chr1_supercontig_000000262" 1552582 395845897
"Chr1_supercontig_000000263" 244562 396090459
"Chr1_supercontig_000000264" 2970469 399060928
"Chr1_supercontig_000000265" 1401055 400461983
"Chr1_supercontig_000000266" 238406 400700389
"Chr1_supercontig_000000267" 362016 401062405
"Chr1_supercontig_000000268" 1840502 402902907
"Chr1_supercontig_000000269" 276713 403179620
"Chr1_supercontig_000000270" 1403208 404582828
"Chr1_supercontig_000000271" 1592427 406175255
"Chr1_supercontig_000000272" 2157303 408332558
"Chr1_supercontig_000000273" 658685 408991243
"Chr1_supercontig_000000274" 1124622 410115865
"Chr1_supercontig_000000275" 393550 410509415
"Chr1_supercontig_000000276" 3395230 413904645
"Chr1_supercontig_000000277" 1167764 415072409
"Chr1_supercontig_000000278" 1471148 416543557
"Chr1_supercontig_000000279" 273490 416817047
"Chr1_supercontig_000000280" 864623 417681670
"Chr1_supercontig_000000281" 1761770 419443440
"Chr1_supercontig_000000282" 2661379 422104819
"Chr1_supercontig_000000283" 151412 422256231
"Chr1_supercontig_000000284" 3629281 425885512
"Chr1_supercontig_000000285" 351374 426236886
"Chr1_supercontig_000000286" 1515 426238401
"Chr1_supercontig_000000287" 2560444 428798845
"Chr1_supercontig_000000288" 1269824 430068669
"Chr1_supercontig_000000289" 1951364 432020033
"Chr1_supercontig_000000290" 986550 433006583
"Chr1_supercontig_000000291" 1101511 434108094
"Chr1_supercontig_000000292" 809601 434917695
"Chr1_supercontig_000000293" 528684 435446379
"Chr1_supercontig_000000294" 2021592 437467971
"Chr1_supercontig_000000295" 156914 437624885
"Chr1_supercontig_000000296" 1423556 439048441
"Chr1_supercontig_000000297" 3881936 442930377
"Chr1_supercontig_000000298" 4695799 447626176
"Chr1_supercontig_000000299" 30318 447656494
"Chr1_supercontig_000000300" 2230 447658724
"Chr1_supercontig_000000301" 4246809 451905533
"Chr1_supercontig_000000302" 511878 452417411
"Chr1_supercontig_000000303" 3663682 456081093
"Chr1_supercontig_000000304" 1261086 457342179
"Chr1_supercontig_000000305" 3164110 460506289
"Chr1_supercontig_000000306" 833480 461339769
"Chr1_supercontig_000000307" 2907037 464246806
"Chr1_supercontig_000000308" 223884 464470690
"Chr1_supercontig_000000309" 3763505 468234195
"Chr1_supercontig_000000310" 4818093 473052288
"Chr1_supercontig_000000311" 3942496 476994784
"Chr1_supercontig_000000312" 3039836 480034620
"Chr1_supercontig_000000313" 458806 480493426
"Chr1_supercontig_000000314" 1321898 481815324
"Chr1_supercontig_000000315" 1612473 483427797
"Chr1_supercontig_000000316" 2661292 486089089
"Chr1_supercontig_000000317" 1193815 487282904
"Chr1_supercontig_000000318" 1323300 488606204
"Chr1_supercontig_000000319" 1664680 490270884
"Chr1_supercontig_000000320" 4567007 494837891
"Chr1_supercontig_000000321" 1118070 495955961
"Chr1_supercontig_000000322" 1590404 497546365
"Chr1_supercontig_000000323" 176121 497722486
"Chr1_supercontig_000000324" 2599895 500322381
"Chr1_supercontig_000000325" 559355 500881736
"Chr1_supercontig_000000326" 111780 500993516
"Chr1_supercontig_000000327" 2247047 503240563
"Chr1_supercontig_000000328" 1732408 504972971
"Chr1_supercontig_000000329" 40769 505013740
"Chr1_supercontig_000000330" 840909 505854649
"Chr1_supercontig_000000331" 4893984 510748633
"Chr1_supercontig_000000332" 2250546 512999179
"Chr1_supercontig_000000333" 120503 513119682
"Chr1_supercontig_000000334" 2756610 515876292
"Chr1_supercontig_000000335" 779481 516655773
"Chr1_supercontig_000000336" 216836 516872609
"Chr1_supercontig_000000337" 3875509 520748118
"Chr1_supercontig_000000338" 201144 520949262
"Chr1_supercontig_000000339" 1262512 522211774
"Chr1_supercontig_000000340" 61853 522273627
"Chr1_supercontig_000000341" 3006666 525280293
"Chr1_supercontig_000000342" 1716974 526997267
"Chr1_supercontig_000000343" 315415 527312682
"Chr1_supercontig_000000344" 197916 527510598
"Chr1_supercontig_000000345" 69296 527579894
"Chr1_supercontig_000000346" 602394 528182288
"Chr1_supercontig_000000347" 2963480 531145768
"Chr1_supercontig_000000348" 230650 531376418
"Chr1_supercontig_000000349" 1417665 532794083
"Chr1_supercontig_000000350" 144336 532938419
"Chr1_supercontig_000000351" 787276 533725695
"Chr1_supercontig_000000352" 1234240 534959935
"Chr1_supercontig_000000353" 1735962 536695897
"Chr1_supercontig_000000354" 2990098 539685995
"Chr1_supercontig_000000355" 1252020 540938015
"Chr1_supercontig_000000356" 2059521 542997536
"Chr1_supercontig_000000357" 1938635 544936171
"Chr1_supercontig_000000358" 2800534 547736705
"Chr1_supercontig_000000359" 507444 548244149
"Chr1_supercontig_000000360" 252102 548496251
"Chr1_supercontig_000000361" 330664 548826915
"Chr1_supercontig_000000362" 308039 549134954
"Chr1_supercontig_000000363" 989714 550124668
"Chr1_supercontig_000000364" 410710 550535378
"Chr1_supercontig_000000365" 1375903 551911281
"Chr1_supercontig_000000366" 343552 552254833
"Chr1_supercontig_000000367" 1541447 553796280
"Chr1_supercontig_000000368" 277683 554073963
"Chr1_supercontig_000000369" 274662 554348625
"Chr1_supercontig_000000370" 2194449 556543074
"Chr1_supercontig_000000371" 752452 557295526
"Chr1_supercontig_000000372" 1234954 558530480
"Chr1_supercontig_000000373" 1745349 560275829
"Chr1_supercontig_000000374" 182837 560458666
"Chr1_supercontig_000000375" 2329605 562788271
"Chr1_supercontig_000000376" 1470238 564258509
"Chr1_supercontig_000000377" 1218439 565476948
"Chr1_supercontig_000000378" 1213027 566689975
"Chr1_supercontig_000000379" 735076 567425051
"Chr1_supercontig_000000380" 2374177 569799228
"Chr1_supercontig_000000381" 1528468 571327696
"Chr1_supercontig_000000382" 2272523 573600219
"Chr1_supercontig_000000383" 660960 574261179
"Chr1_supercontig_000000384" 1442764 575703943
"Chr1_supercontig_000000385" 577524 576281467
"Chr1_supercontig_000000386" 704375 576985842
"Chr1_supercontig_000000387" 751633 577737475
"Chr1_supercontig_000000388" 99350 577836825
"Chr1_supercontig_000000389" 1227389 579064214
"Chr1_supercontig_000000390" 1114362 580178576
"Chr1_supercontig_000000391" 3853 580182429
"Chr1_supercontig_000000392" 1619 580184048
"Chr1_supercontig_000000393" 2355 580186403
"Chr1_supercontig_000000394" 745290 580931693
"Chr1_supercontig_000000395" 298985 581230678
"Chr1_supercontig_000000396" 935701 582166379
"Chr1_supercontig_000000397" 314882 582481261
"Chr1_supercontig_000000398" 2237 582483498
"Chr1_supercontig_000000399" 295750 582779248
"Chr1_supercontig_000000400" 221109 583000357
"Chr1_supercontig_000000401" 371100 583371457
"Chr1_supercontig_000000402" 20969 583392426
"Chr1_supercontig_000000403" 122314 583514740
"Chr1_supercontig_000000404" 30843 583545583
"Chr1_supercontig_000000405" 34789 583580372
"Chr1_supercontig_000000406" 62554 583642926
"Chr1_supercontig_000000407" 121129 583764055
"Chr1_supercontig_000000408" 147151 583911206
"Chr1_supercontig_000000409" 384427 584295633
"Chr1_supercontig_000000410" 419930 584715563
"Chr1_supercontig_000000411" 87941 584803504
"Chr1_supercontig_000000412" 59099 584862603
"Chr1_supercontig_000000413" 35821 584898424
"Chr1_supercontig_000000414" 286232 585184656
"Chr1_supercontig_000000415" 32807 585217463
"Chr1_supercontig_000000416" 56573 585274036
"Chr1_supercontig_000000417" 73210 585347246
"Chr1_supercontig_000000418" 72856 585420102
"Chr1_supercontig_000000419" 57329 585477431
"Chr1_supercontig_000000420" 136841 585614272
"Chr1_supercontig_000000421" 121083 585735355
"Chr1_supercontig_000000422" 7543 585742898
"Chr1_supercontig_000000423" 91083 585833981
"Chr1_supercontig_000000424" 128686 585962667
"Chr1_supercontig_000000425" 100392 586063059
"Chr1_supercontig_000000426" 136315 586199374
"Chr1_supercontig_000000427" 210803 586410177
"Chr1_supercontig_000000428" 132707 586542884
"Chr1_supercontig_000000429" 31666 586574550
"Chr1_supercontig_000000430" 238214 586812764
"Chr1_supercontig_000000431" 63766 586876530
"Chr1_supercontig_000000432" 112942 586989472
"Chr1_supercontig_000000433" 235650 587225122
"Chr1_supercontig_000000434" 180509 587405631
"Chr1_supercontig_000000435" 50324 587455955
"Chr1_supercontig_000000436" 255401 587711356
"Chr1_supercontig_000000437" 233322 587944678
"Chr1_supercontig_000000438" 54189 587998867
"Chr1_supercontig_000000439" 66273 588065140
"Chr1_supercontig_000000440" 70021 588135161
"Chr1_supercontig_000000441" 257542 588392703
"Chr1_supercontig_000000442" 32789 588425492
"Chr1_supercontig_000000443" 53280 588478772
"Chr1_supercontig_000000444" 54909 588533681
"Chr1_supercontig_000000445" 150174 588683855
"Chr1_supercontig_000000446" 311590 588995445
"Chr1_supercontig_000000447" 112962 589108407
"Chr1_supercontig_000000448" 81729 589190136
"Chr1_supercontig_000000449" 79177 589269313
"Chr1_supercontig_000000450" 112205 589381518
"Chr1_supercontig_000000451" 51933 589433451
"Chr1_supercontig_000000452" 28930 589462381
"Chr1_supercontig_000000453" 16258 589478639
"Chr1_supercontig_000000454" 70772 589549411
"Chr1_supercontig_000000455" 24897 589574308
"Chr1_supercontig_000000456" 47873 589622181
"Chr1_supercontig_000000457" 108876 589731057
"Chr1_supercontig_000000458" 54592 589785649
"Chr1_supercontig_000000459" 61137 589846786
"Chr1_supercontig_000000460" 71300 589918086
"Chr1_supercontig_000000461" 64884 589982970
"Chr1_supercontig_000000462" 152326 590135296
"Chr1_supercontig_000000463" 130503 590265799
"Chr1_supercontig_000000464" 38542 590304341
"Chr1_supercontig_000000465" 87692 590392033
"Chr1_supercontig_000000466" 239575 590631608
"Chr1_supercontig_000000467" 44811 590676419
"Chr1_supercontig_000000468" 292035 590968454
"Chr1_supercontig_000000469" 79138 591047592
"Chr1_supercontig_000000470" 49878 591097470
"Chr1_supercontig_000000471" 64142 591161612
"Chr1_supercontig_000000472" 65093 591226705
"Chr1_supercontig_000000473" 58227 591284932
"Chr1_supercontig_000000474" 237830 591522762
"Chr1_supercontig_000000475" 5119 591527881
"Chr1_supercontig_000000476" 221359 591749240
"Chr1_supercontig_000000477" 35914 591785154
"Chr1_supercontig_000000478" 60192 591845346
"Chr1_supercontig_000000479" 53000 591898346
"Chr1_supercontig_000000480" 131629 592029975
"Chr1_supercontig_000000481" 69198 592099173
"Chr1_supercontig_000000482" 71563 592170736
"Chr1_supercontig_000000483" 376878 592547614
"Chr1_supercontig_000000484" 140592 592688206
"Chr1_supercontig_000000485" 275073 592963279
"Chr1_supercontig_000000486" 45371 593008650
"Chr1_supercontig_000000487" 149626 593158276
"Chr1_supercontig_000000488" 596466 593754742
"Chr1_supercontig_000000489" 97348 593852090
"Chr1_supercontig_000000490" 88259 593940349
"Chr1_supercontig_000000491" 355440 594295789
"Chr1_supercontig_000000492" 43064 594338853
"Chr1_supercontig_000000493" 6632 594345485
"Chr1_supercontig_000000494" 65995 594411480
"Chr1_supercontig_000000495" 88210 594499690
"Chr1_supercontig_000000496" 78865 594578555
"Chr1_supercontig_000000497" 48192 594626747
"Chr1_supercontig_000000498" 107613 594734360
"Chr1_supercontig_000000499" 76045 594810405
"Chr1_supercontig_000000500" 66355 594876760
"Chr1_supercontig_000000501" 79717 594956477
"Chr1_supercontig_000000502" 102489 595058966
"Chr1_supercontig_000000503" 36633 595095599
"Chr1_supercontig_000000504" 3588 595099187
"Chr1_supercontig_000000505" 79409 595178596
"Chr1_supercontig_000000506" 192912 595371508
"Chr1_supercontig_000000507" 69644 595441152
"Chr1_supercontig_000000508" 61370 595502522
"Chr1_supercontig_000000509" 174362 595676884
"Chr1_supercontig_000000510" 84322 595761206
"Chr1_supercontig_000000511" 108975 595870181
"Chr1_supercontig_000000512" 81616 595951797
"Chr1_supercontig_000000513" 165078 596116875
"Chr1_supercontig_000000514" 246679 596363554
"Chr1_supercontig_000000515" 64457 596428011
"Chr1_supercontig_000000516" 34663 596462674
"Chr1_supercontig_000000517" 66123 596528797
"Chr1_supercontig_000000518" 149789 596678586
"Chr1_supercontig_000000519" 89969 596768555
"Chr1_supercontig_000000520" 144998 596913553
"Chr1_supercontig_000000521" 120529 597034082
"Chr1_supercontig_000000522" 41718 597075800
"Chr1_supercontig_000000523" 207386 597283186
"Chr1_supercontig_000000524" 54949 597338135
"Chr1_supercontig_000000525" 81540 597419675
"Chr1_supercontig_000000526" 220795 597640470
"Chr1_supercontig_000000527" 215148 597855618
"Chr1_supercontig_000000528" 23971 597879589
"Chr1_supercontig_000000529" 91171 597970760
"Chr1_supercontig_000000530" 144440 598115200
"Chr1_supercontig_000000531" 68381 598183581
"Chr1_supercontig_000000532" 165840 598349421
"Chr1_supercontig_000000533" 40645 598390066
"Chr1_supercontig_000000534" 138066 598528132
"Chr1_supercontig_000000535" 388496 598916628
"Chr1_supercontig_000000536" 22405 598939033
"Chr1_supercontig_000000537" 145045 599084078
"Chr1_supercontig_000000538" 182905 599266983
"Chr1_supercontig_000000539" 49258 599316241
"Chr1_supercontig_000000540" 102680 599418921
"Chr1_supercontig_000000541" 95837 599514758
"Chr1_supercontig_000000542" 13877 599528635
"Chr1_supercontig_000000543" 33328 599561963
"Chr1_supercontig_000000544" 102583 599664546
"Chr1_supercontig_000000545" 278955 599943501
"Chr1_supercontig_000000546" 299611 600243112
"Chr1_supercontig_000000547" 122680 600365792
"Chr1_supercontig_000000548" 29107 600394899
"Chr1_supercontig_000000549" 55813 600450712
"Chr1_supercontig_000000550" 315143 600765855
"Chr1_supercontig_000000551" 30437 600796292
"Chr1_supercontig_000000552" 33429 600829721
"Chr1_supercontig_000000553" 32288 600862009
"Chr1_supercontig_000000554" 43902 600905911
"Chr1_supercontig_000000555" 317623 601223534
"Chr1_supercontig_000000556" 168213 601391747
"Chr1_supercontig_000000557" 81088 601472835
"Chr1_supercontig_000000558" 76239 601549074
"Chr1_supercontig_000000559" 247348 601796422
"Chr1_supercontig_000000560" 347883 602144305
"Chr1_supercontig_000000561" 71097 602215402
"Chr1_supercontig_000000562" 64474 602279876
"Chr1_supercontig_000000563" 209569 602489445
"Chr1_supercontig_000000564" 3064 602492509
"Chr1_supercontig_000000565" 307334 602799843
"Chr1_supercontig_000000566" 57370 602857213
"Chr1_supercontig_000000567" 44436 602901649
"Chr1_supercontig_000000568" 163198 603064847
"Chr1_supercontig_000000569" 33108 603097955
"Chr1_supercontig_000000570" 175726 603273681
"Chr1_supercontig_000000571" 26184 603299865
"Chr1_supercontig_000000572" 78292 603378157
"Chr1_supercontig_000000573" 104528 603482685
"Chr1_supercontig_000000574" 70688 603553373
"Chr1_supercontig_000000575" 104568 603657941
"Chr1_supercontig_000000576" 40528 603698469
"Chr1_supercontig_000000577" 65686 603764155
"Chr1_supercontig_000000578" 136519 603900674
"Chr1_supercontig_000000579" 137623 604038297
"Chr1_supercontig_000000580" 124135 604162432
"Chr1_supercontig_000000581" 10892 604173324
"Chr1_supercontig_000000582" 74694 604248018
"Chr1_supercontig_000000583" 41711 604289729
"Chr1_supercontig_000000584" 99392 604389121
"Chr1_supercontig_000000585" 71402 604460523
"Chr1_supercontig_000000586" 540918 605001441
"Chr1_supercontig_000000587" 54526 605055967
"Chr1_supercontig_000000588" 78230 605134197
"Chr1_supercontig_000000589" 48093 605182290
"Chr1_supercontig_000000590" 87812 605270102
"Chr1_supercontig_000000591" 139195 605409297
"Chr1_supercontig_000000592" 71268 605480565
"Chr1_supercontig_000000593" 122590 605603155
"Chr1_supercontig_000000594" 56060 605659215
"Chr1_supercontig_000000595" 339433 605998648
"Chr1_supercontig_000000596" 22536 606021184
